Date,Clinton,err_Clinton,Trump,err_Trump,Difference,err_diff
2016-08-04,47.333333333333336,0.9229582069908973,39.916666666666664,0.9607457558622924,7.416666666666671,1.8837039628531898
2016-08-05,47.15384615384615,0.869238623832135,40.23076923076923,0.9367818900432332,6.92307692307692,1.8060205138753682
2016-08-06,47.75,0.7083333333333334,40.666666666666664,0.9077852576871218,7.083333333333336,1.6161185910204552
2016-08-07,47.833333333333336,0.7344057814667937,40.333333333333336,0.8277591347639635,7.5,1.5621649162307572
2016-08-08,47.5,0.7648529270389177,40.2,1.0079682534683323,7.299999999999997,1.77282118050725
2016-08-09,47.7,0.7489993324429601,40.0,0.9695359714832659,7.700000000000003,1.718535303926226
2016-08-10,47.0,0.9055385138137417,39.7,1.0397114984456024,7.299999999999997,1.9452500122593441
2016-08-11,47.42857142857143,1.1403032689550199,41.0,0.989743318610787,6.428571428571431,2.130046587565807
2016-08-12,47.0,1.247219128924647,41.333333333333336,1.097134314340639,5.666666666666664,2.3443534432652857
2016-08-13,47.4,1.4310835055998654,40.8,1.1798304963002102,6.600000000000001,2.610914001900076
2016-08-14,47.833333333333336,1.2564647642109603,40.833333333333336,0.9836628449792096,7.0,2.24012760919017
2016-08-15,48.333333333333336,1.5214515486254614,41.666666666666664,1.261979632400061,6.666666666666671,2.7834311810255223
2016-08-16,47.833333333333336,1.4984559954734642,41.166666666666664,1.188291646455969,6.666666666666671,2.686747641929433
2016-08-17,46.666666666666664,1.8206632897971045,40.333333333333336,1.4272480642961256,6.333333333333329,3.24791135409323
2016-08-18,47.6,1.930802941783547,41.2,1.4254823744964369,6.399999999999999,3.356285316279984
2016-08-19,47.6,1.930802941783547,41.2,1.4254823744964369,6.399999999999999,3.356285316279984
2016-08-20,48.0,2.3717082451262845,41.0,1.7677669529663689,7.0,4.139475198092653
2016-08-21,48.4,1.930802941783547,41.2,1.4254823744964369,7.199999999999996,3.356285316279984
2016-08-22,48.0,2.3717082451262845,41.25,1.7809758560968758,6.75,4.15268410122316
2016-08-23,46.0,2.160246899469287,39.666666666666664,1.5153535218873173,6.333333333333336,3.675600421356604
2016-08-24,46.0,2.2638462845343543,38.5,1.5206906325745548,7.5,3.784536917108909
2016-08-25,47.666666666666664,2.325383281828483,39.333333333333336,1.7847087115787792,8.333333333333329,4.110091993407263
2016-08-26,47.666666666666664,2.325383281828483,39.333333333333336,1.7847087115787792,8.333333333333329,4.110091993407263
2016-08-27,47.666666666666664,2.325383281828483,39.333333333333336,1.7847087115787792,8.333333333333329,4.110091993407263
2016-08-28,47.42857142857143,1.1403032689550199,41.285714285714285,1.024481665143766,6.142857142857146,2.164784934098786
2016-08-29,46.333333333333336,1.1221672153735645,41.0,0.8314794192830981,5.333333333333336,1.9536466346566626
2016-08-30,46.5,1.0222524150130436,41.1,0.7543208866258444,5.399999999999999,1.776573301638888
2016-08-31,46.5,1.0222524150130436,41.1,0.7543208866258444,5.399999999999999,1.776573301638888
2016-09-01,46.22222222222222,0.9266663706071705,42.0,0.4444444444444444,4.222222222222221,1.371110815051615
2016-09-02,46.22222222222222,0.9266663706071705,42.0,0.4444444444444444,4.222222222222221,1.371110815051615
2016-09-03,46.22222222222222,0.9266663706071705,42.0,0.4444444444444444,4.222222222222221,1.371110815051615
2016-09-04,46.54545454545455,0.7858630709869862,42.63636363636363,0.7073723612076251,3.9090909090909136,1.4932354321946113
2016-09-05,45.375,1.1850303266161588,42.0,1.0897247358851685,3.375,2.2747550625013275
2016-09-06,45.333333333333336,1.2171612389003692,42.666666666666664,1.3263707095903692,2.6666666666666714,2.543531948490738
2016-09-07,44.8,1.3386560424545209,42.8,1.584929020492716,2.0,2.923585062947237
2016-09-08,45.833333333333336,1.4609104213671893,42.833333333333336,1.3211246611771241,3.0,2.782035082544313
2016-09-09,46.2,1.7064583206161235,42.8,1.584929020492716,3.4000000000000057,3.2913873411088392
2016-09-10,46.2,1.7064583206161235,42.8,1.584929020492716,3.4000000000000057,3.2913873411088392
